,county_id,proj_X,proj_Y,new_pct_dem,sex_ratio,pct_black,pct_hisp,pct_bach,median_income,pct_65_over,pct_age_18_29,gini,pct_manuf,ln_pop_den,pct_3rd_party,turn_out,pct_fb,pct_uninsured
2629,31157,-634800.0546859446,2120031.4766341667,27.700026406126213,93.7,0.9,23.8,22.9,49745,18.7,14.212452181626654,0.4517,7.9,3.8797272959734905,2.075117977891272,58.741550846814015,3.8,9.3
2630,31103,-301464.22402184346,2215073.061968422,9.333333333333332,92.9,0.0,0.9,25.0,56500,24.1,9.605263157894736,0.4214,3.9,-0.01974922589104788,0.7561436672967825,94.29590017825312,0.3,6.4
2631,31105,-641284.051074206,2047177.0539936703,14.636810486073186,99.9,0.1,9.6,16.1,53403,24.6,11.257913570052304,0.4012,13.0,1.339213905302369,2.294557097118466,67.02432045779685,2.1,13.6
2632,31111,-395534.36210753385,2014175.851311909,22.02469724989561,96.3,1.5,8.6,23.2,59795,18.9,12.823639508833622,0.4358,3.6,2.616321059143172,2.0108727421523365,64.61811588728564,2.8,9.4
2633,48135,-615831.7301452885,998406.1845609532,25.796568627450984,103.1,4.8,60.7,15.4,62973,9.5,19.140734467147013,0.4516,6.2,5.182117452232287,1.1818528402592343,45.19480256223141,13.9,21.0
2634,48377,-793222.8194494094,803736.202400966,66.98717948717949,92.5,0.0,83.7,21.2,25098,24.1,13.089605734767025,0.4726,0.5,0.5935065232245246,1.4884979702300458,67.55027422303472,39.9,26.1
2635,48465,-496932.4098171421,770920.7103956693,44.97509133178346,104.3,1.4,82.0,18.4,46147,14.1,19.120259756172274,0.4697,5.8,2.7159292720958645,1.4725130890052345,52.04359673024523,22.2,18.0
2636,48109,-805534.1277808094,966241.563627232,51.34818288393904,132.1,0.1,71.0,10.2,37900,14.8,15.040650406504069,0.3892,0.7,-0.5455643587230958,1.2731481481481508,58.69565217391305,13.6,23.6
2637,48169,-490684.8987206135,1137041.2618724946,14.051094890510948,170.9,5.7,52.2,13.9,49627,13.7,18.566721581548602,0.4714,6.5,1.9135468499636537,0.5444646098003658,52.542911633820715,34.8,14.9
2638,48173,-519738.6193240161,992346.8760645054,6.000000000000001,134.8,0.0,43.8,27.2,78456,9.9,20.4635761589404,0.4746,3.7,0.5156588741613066,0.4594180704441064,73.86877828054298,23.3,20.5
2639,48185,1400.1680986354058,829717.0223041234,23.098247044435386,118.4,15.2,24.2,15.7,52913,16.9,14.465408805031444,0.49,11.4,3.552787514241173,1.20025777348155,61.002457002457,6.8,14.0
2640,48085,-53054.98122078605,1124469.6215083268,47.788678214553975,96.8,9.7,15.3,52.3,96913,10.7,14.078155849676122,0.43,8.3,7.00167920586849,1.546889515458716,79.0513630295056,21.1,10.4
2641,48005,131856.863720179,909755.658387968,26.719074198544675,95.3,14.8,22.1,16.9,50453,15.9,15.45315040883168,0.4369,11.4,4.614301212006902,1.0267831318331644,57.48441266938232,8.5,18.8
2642,48101,-391808.450082244,1232479.965429538,17.304747320061256,82.2,14.5,23.1,16.8,32305,20.8,13.337393422655294,0.4886,0.0,0.5991341154956433,1.3595166163142047,59.747292418772574,2.5,11.9
2643,48209,-195595.63043228321,777915.1378059423,55.52404761016379,99.2,4.2,38.9,37.2,68717,10.7,24.089123852910024,0.4499,6.0,5.748714411601084,2.002833767539647,71.37590855114637,8.8,13.4
2644,48039,53363.56521128226,679662.9913428653,40.76221169781411,102.2,14.0,30.6,30.0,81447,11.6,14.876191162730088,0.4216,13.4,5.508263161468284,1.4988643989056971,63.60092251376794,13.1,14.0
2645,48129,-435762.6052993961,1333952.4507058887,12.102689486552567,103.5,5.7,11.1,17.9,42961,23.2,19.269898264512264,0.4584,3.1,1.2759146413655431,0.7281553398058249,62.876764593666536,2.6,14.1
2646,48013,-246779.62754998985,650024.17642403,32.799330170248396,99.7,0.3,64.3,14.4,55366,14.3,15.583104506541753,0.4324,7.7,3.7026344238376696,1.120432718843145,53.828099468195724,6.9,17.9
2647,48353,-412649.27168286033,1035205.2979190531,21.953523521632338,105.3,6.0,37.7,15.2,45537,17.6,15.291196994095547,0.4788,12.2,2.792866328662191,1.1946985252940134,50.70995834911018,5.1,19.0
2648,48229,-887265.0624073155,975028.6035490708,32.26086956521739,101.0,2.0,77.8,10.7,31677,15.3,16.466591166477922,0.4844,7.2,-0.033454691558431164,1.2875536480686622,58.162755866200705,38.8,26.5
2649,48475,-671339.6931773467,962240.6733372826,19.07615480649189,99.4,4.0,53.7,12.5,62986,13.8,17.03551209469892,0.4127,2.5,2.633431103464613,1.3546798029556606,51.243215953552955,8.9,19.1
2650,48203,152167.17258429693,1054169.829567222,26.921767549533605,94.4,20.7,13.1,19.1,52220,16.5,14.484830279363171,0.4785,13.6,4.2842333529197525,1.1542214893831892,62.251503027002116,5.4,14.9
2651,48327,-364152.9490671236,875575.8802081266,19.313725490196077,120.5,0.0,41.7,18.0,36395,31.4,14.346389806512509,0.4737,1.4,0.8535811308188803,0.7782101167315147,58.84373211219233,10.2,31.0
