"","county_id","pct_dem","pct_bach","sex_ratio","log_pop_den"
"73",13147,25.0138657792568,15.7,96.6,4.60522173491291
"74",13185,43.9159098847363,25.3,94.8,5.42019630560177
"75",13191,39.4085697042849,17.6,101.2,3.37971063717135
"76",13199,39.654056054019,10.4,94.1,3.73261168303234
"77",13207,28.3864283864284,26.8,100,4.22468843104286
"78",13237,29.3721782093875,23.4,94,4.09665330008595
"79",13261,52.4315352697095,18.3,89.5,4.11330934522002
"80",13265,60.9120521172638,8.1,96.9,2.10751013150465
"81",13301,55.7495256166983,12.3,87.3,2.91628697241538
"82",20193,16.6444740346205,22.6,93.5,1.98395472513953
"83",19185,23.6730706610225,12.7,97.1,2.50043354764247
"84",19163,51.632850666784,31.8,96.3,5.90965386305521
"85",20181,14.859287054409,21.8,108.2,1.72706374472653
"86",20127,25.5520504731861,21.4,99.3,2.06918468283664
"87",20163,12.7252252252252,23.1,92.5,1.73085467122539
"88",20025,13.658070678128,26.1,107.6,0.729350465559527
"89",20077,17.5351844807912,16.2,103.6,1.94017517720796
"90",20111,44.5056964351341,27.5,94,3.65965556573648
"91",20145,23.921130952381,19.6,124,2.17355779820736
"92",20033,14.1891891891892,16,113.8,0.788844235598432
"93",20063,11.3932738503775,19.7,101.2,0.903241094740294
"94",20079,39.8546872231083,33.2,98.9,4.15666323310076
"95",20093,18.6582809224319,14.7,90.9,1.50061652032341
"96",20113,29.3233082706767,28,97.1,3.45769070676076
"97",5041,51.2065024130048,14.1,90.5,2.66009438936329
"98",5049,20.7165732586069,12.2,99.7,2.98161958090899
"99",5061,28.4682387932866,13.6,92.3,3.10652445871078
"100",5051,32.5764252910887,21.6,92.3,4.89920729045565
"101",5093,38.4511557280243,13.8,94.2,3.82487229055555
"102",5115,24.1982140611244,22.8,96.6,4.34070736154421
"103",5117,19.0116279069767,15.4,100,2.49623372424527
"104",5139,34.7652845224754,21.1,93.9,3.62097626642087
"105",5147,35.6815339724885,14,85.2,2.39883604968967
"106",5023,16.1416044170185,15.5,98.2,3.74830825372107
"107",5025,18.5048322910745,16.2,97.2,2.61029230097815
"108",5067,27.5312626058895,10.1,98,3.27630646810875
"109",5057,32.3547215496368,15.1,89.6,3.3825736798487
"110",5135,19.0567066521265,10.2,96.1,3.34777786626978
"111",5137,20.3588681849551,13.9,98.5,3.0186980470626
"112",5143,47.9852838121934,33.3,99.6,5.4965048269846
"113",5005,22.6417859410874,17.9,94.2,4.25800545325872
"114",5003,27.6945132282028,12.3,94.1,3.06961094352638
"115",5031,31.8071453347208,26.2,95.3,5.01702422105751
"116",5055,19.4430315361139,16.2,96.6,4.35032872657273
"117",5105,22.5339568024939,12.7,99.8,2.91514657328208
"118",5111,19.3952601470989,11.1,95,3.44382979265905
"119",5133,22.32,12.8,101,3.38165802146274
"120",5013,22.6477541371158,11.4,101,2.10423231472495
"121",5019,42.686863670226,26.6,88.4,3.23155313104606
"122",5075,19.1184280403611,15.4,98.5,3.32733035275308
"123",5095,42.6077265973254,12.7,88.4,2.43109313543036
"124",5029,31.4718979419906,15.6,94.9,3.6063341368065
"125",5101,18.1748269674442,20.5,98.1,2.24968961669612
"126",5001,29.6961777196994,15.8,91.6,2.85152707509942
"127",5085,22.6107541427122,20.6,96.9,4.50416139420863
"128",5015,35.1445793657727,21.2,98.9,3.77965202849896
"129",5123,52.6438796377447,10.4,119.4,3.6982211074573
"130",5119,61.5495610804545,34.3,91.6,6.18663156794782
"131",6047,55.4272073132099,13.8,101.9,4.92143263390542
"132",6043,40.7252440725244,24.6,103.8,2.47696516567524
"133",6049,27.0016435783048,15.2,108.1,0.750788267817269
"134",6013,73.1447503175158,42.4,95.7,7.31530641663078
"135",6027,50.0756429652042,27.2,101.6,0.564305545950319
"136",6099,50.4038364462393,17.1,98,5.88403593496901
"137",6083,66.4096392929959,34.2,100.2,5.08509142690493
"138",6103,31.7660059888778,15.7,98.9,3.07026318772874
"139",6051,61.4924915721729,28.8,114.3,1.5205547041048
"140",6069,62.4707633425473,19.7,99.8,3.76904363552517
