"","county_id","state_id","X","intercept","sex_ratio","pct_black","pct_hisp","pct_bach","median_income","pct_65_over","pct_age_18_29","gini","pct_manuf","ln_pop_den","pct_3rd_party","turn_out","pct_fb","pct_uninsured","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","mgwr_resid","X32","plotvar"
"31",1061,1,1700,-0.947945041267641,-0.022157193080961,0.831293675089736,0.27564063134096,0.375900445568906,-0.181964810490095,-0.119379486911109,-0.0432742530615304,-0.0467545696425099,-0.0587131910859127,0.0105284330826283,0.0566564810287257,0.0681269484072504,0.0222844425201098,-0.00446906796835019,0.0607387377108265,0.00736211812708924,0.0250367853259269,0.0340402279151976,0.0260077974419949,0.0188178173846443,0.0907843691088422,0.035484732860459,0.0147261227248353,0.0237025031193362,0.0356437984526258,0.014286418299358,0.0313930940851689,0.0152725252129033,0.0398557569610129,0.0192163618588728,-0.546328099339818,-0.00446906796835019
"759",19007,19,1651,0.264084133851013,-0.0247181980238407,0.419255852716617,0.255511473080641,0.308645567640476,-0.182916480309795,0.0265234652409034,0.0193527661268421,0.00362398698276524,-0.0438438964911123,0.363266523743115,0.0536709488285075,0.0697039728808681,0.0145964205338509,-0.00646378073704415,0.0559505722002405,0.00743615236781894,0.110780341176583,0.0304294966437875,0.0260250754933395,0.01874274557578,0.0890502038181946,0.0265090108575625,0.0177788133520175,0.0278374126032348,0.0320396953952689,0.014006130835547,0.036709844200888,0.0155656303207084,0.0387245473332647,0.0327802575235495,0.232823702280922,-0.00646378073704415
"896",20083,20,NA,-0.237694014723611,-0.0215563131765744,0.602160991370626,0.314214361360722,0.381006291335991,-0.183471928974537,0.061191192718102,0.0148881938860181,0.00579204568850973,-0.00790407306166356,0.283812733450811,0.0538062586823475,-0.0418757814548677,0.0131205573010763,-0.00349119045458085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2653",48327,48,NA,-0.648842469519916,-0.0204139328964093,0.603167185491624,0.341186250513618,0.345564209325962,-0.183242629387958,-0.0186547900080809,-0.0183322282856578,-0.014830431748783,-0.0450179391620742,0.226280935789451,0.0661160467442182,0.0279247506147708,0.0125432262341413,0.0017837500725428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1701",31161,31,2363,-0.0512341228286579,-0.0211872302885532,0.396384887388359,0.315487503780812,0.530324949144047,-0.184145549876019,-0.126402458291113,-0.092778568867913,0.050473797703952,-0.0626095381481069,0.319011561525116,0.00802825610204015,-0.108713078737341,0.0099204288711898,0.550920311016165,0.0673617706595707,0.00781459741927736,0.116270371272473,0.0201359329525756,0.0220889397098657,0.0183877379000061,0.0489125602989779,0.0276549793044681,0.0169026464109142,0.0225130979150226,0.0223437832167858,0.0141456529189404,0.0288708304488868,0.0152577029227919,0.0361805597113196,-0.822732109217837,-0.665289388024873,0.550920311016165
"2916",51810,51,2714,-0.199036224262784,-0.0232630636893868,0.765309063542673,0.318562127515173,0.494558455263203,-0.181595543175738,-0.0572291538732185,0.0371298477696001,0.0123273940410958,-0.0525281723536227,0.0677247666355187,0.0420927144068336,0.0510980635289149,0.0286296294337824,0.115559161082758,0.0831972201150907,0.00738017942838058,0.0388228671918317,0.0392447628200046,0.0279154338752448,0.0188391671409485,0.0446847447152983,0.0273266225754495,0.0185894861704304,0.0293204584664555,0.0289782155515947,0.0137373903055225,0.0385031559592951,0.0155090162410093,0.0533471636271249,0.13708653789282,-0.0925949001154336,0.115559161082758
"722",18117,18,557,0.122485937573734,-0.023587276204093,0.498038087522082,0.261968522118092,0.391622843604326,-0.182048473971351,0.121064742442555,0.134587942342768,0.00216130349338418,0.00937725891105671,0.219517143659319,0.0381406373220275,-0.029335176371855,0.0262854907742031,-0.108881645762882,0.0604204589914174,0.00733163501469614,0.0990538139998139,0.0392498686281512,0.0270435391078142,0.0188031425301519,0.0840475130989264,0.0387865927018195,0.0162688478552733,0.0214573275484054,0.0386909753712187,0.0150628963417551,0.0393275245607233,0.0155026580500705,0.0443102880954509,0.0820586228602861,0.340422327126205,-0.108881645762882
"1530",29161,29,2250,-0.281507771157473,-0.023253713084678,0.588357386588627,0.280114812099643,0.320474014503468,-0.182546002685205,0.165194899803399,0.029391918249432,-0.00515896095612748,0.000741791690156001,0.286808772509123,0.0625824069841522,0.0392367431694094,0.017307706473273,-0.0330771303775771,0.0518027803131124,0.00735905159310397,0.0848540858234389,0.0317235749158973,0.0252573516356568,0.0187668429840525,0.0567805245890503,0.0337138942216806,0.0161566228790657,0.0288466936689862,0.0335042230804968,0.0140024175865956,0.0326292112378398,0.015412891151246,0.0409185960253631,0.0388047370157804,-0.570286650240013,-0.0330771303775771
"2923",53007,53,2110,0.678482727964153,-0.0194101324664417,0.602006538164103,0.3258755231057,0.675068024748045,-0.180459656488435,-0.0150560555601284,-0.147847397993629,0.126827056607614,-0.174694257544315,0.217171074031095,0.0111816381440934,-0.0884759290309876,0.00826400666404836,-0.123401805318421,0.136834733308571,0.00818401577662664,0.229867000476784,0.0187154108637923,0.0217832713792278,0.0179172520434275,0.0409941233372665,0.0280151579388851,0.0186203132344333,0.0259703023307638,0.0195556171182054,0.0154147762230728,0.0358243178651493,0.0149750665879927,0.0457560110839635,-0.26065595389495,-0.0173234875100919,-0.123401805318421
"757",19003,19,NA,0.188128760568032,-0.0241986873687055,0.345058939906673,0.262001640191149,0.319973899714892,-0.183283584422624,0.0348459343103655,0.0156272656293055,0.00620534930847352,-0.0610307832754162,0.322120947879776,0.0533025446734276,0.00490456634188596,0.0142967237586822,0.0360218393766172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1941",37169,37,1817,-0.210015766189906,-0.0231706474260763,0.673038280122461,0.295075945052552,0.492585425866873,-0.181713992620926,0.0188695869119751,0.0614594483222309,0.0143077877416617,-0.0258375249675936,0.0597331243901474,0.0442674087811116,0.0867058193273585,0.0279936165257911,-0.0171032002867225,0.0615943098354741,0.0073605179725255,0.057544834259052,0.0401499221870402,0.0261573655633962,0.018829718772274,0.0675438874691099,0.0256835986677062,0.0164990212504194,0.0232523509416375,0.0284545500132265,0.0143275161663531,0.0305371652028107,0.015481286772321,0.0633826178511661,0.0647757321948002,-0.167607519155986,-0.0171032002867225
"878",20047,20,NA,-0.233243844730702,-0.0216286257152429,0.596820826275242,0.31406253875523,0.360031019119319,-0.183511995956203,0.0663891494699273,0.0201748372577655,0.000966317445441933,-0.0044556815209771,0.288561217558716,0.0569986370688269,-0.0378468096595801,0.0131971897197414,-0.00786422670844483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1237",26079,26,1187,0.479599906124669,-0.0256477883929955,0.577522271878839,0.258429910694435,0.367267962718378,-0.182229521649525,0.093741796332657,0.0546657789586378,0.00378386905858843,-0.0504707645966989,0.212789220717851,0.0281935387021457,-0.00680727373164861,0.0259998531747233,-0.0450899210432518,0.0731623980512015,0.00739201893202498,0.129207010561614,0.0362808279275271,0.0252639629530304,0.0188005741530717,0.048749990460102,0.0378232950165938,0.0175159004157424,0.0197436570416397,0.0312292145554991,0.0141243219999735,0.0351327006086832,0.0155491102476773,0.0406872206629895,0.0204000563757133,0.341764936207194,-0.0450899210432518
"2731",48483,48,2325,-0.704094046281406,-0.0196178581879539,0.939651460269097,0.349767012457367,0.375476153919904,-0.183772775579276,0.224816676387524,-0.0251699309434099,0.000850781866821108,0.0331964184432591,0.285327501260063,0.069089246207165,-0.0307754386238834,0.00993964134117749,-0.0855838486613064,0.0624966629518449,0.00768047047739395,0.123597488165,0.0209921152269971,0.0225912136617098,0.0185618589616182,0.0646025953007599,0.0323518384518541,0.0167291277351954,0.026774807506844,0.0241674698872773,0.0135932703136991,0.028262381108762,0.0152275548476611,0.0287431770489648,-0.195549012535079,-0.787924764633292,-0.0855838486613064
"2329",46003,46,NA,0.239673677478403,-0.0242409063732549,0.486837523320905,0.264473960622611,0.345809583515592,-0.184259617786596,0.0070234184637279,0.0187961158592854,0.0167589695330458,-0.0807379698626608,0.285578646690369,0.0306163151926322,-0.0708311706956861,0.0134184826176505,0.188936601817672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1406",28077,28,2549,-1.10131649198831,-0.0217984930230641,0.793993970518027,0.312637083666022,0.291264792793217,-0.182305540295464,0.0597394290710372,0.0164500312866783,-0.0307001817018069,-0.0057194069184693,0.0875104641849014,0.0651973936291566,0.0518941334335774,0.0180184284552729,0.0309579660765494,0.0661700526428777,0.00737476555268815,0.0274039507468318,0.0268166192090123,0.0246371893892361,0.0187975947561833,0.0837256839975315,0.032842929698178,0.0158150447783473,0.0218390549948196,0.0317525388077434,0.0146113579935307,0.0327910460904074,0.015171860560078,0.0566999835342658,0.124665271874808,-0.288277812973926,0.0309579660765494
