,sem_q_res
214,0.8933003645484978
215,-0.501050937963442
216,-0.1824747426550768
217,1.4644926900436068
218,0.6998583575207811
219,-0.6936550179131389
220,-1.427747910112103
221,-0.44106914065537883
222,-1.0275682432242665
223,-0.07574382875337976
224,2.0276116939030073
225,-2.819220695095328
226,2.51352858905914
227,-2.192183006281727
228,-3.2191806455198257
229,-0.965507135150599
230,-1.9599618708182251
231,-1.2457434684931972
232,-0.8446934358824386
233,-1.0562843566287325
234,-0.006416763091860261
235,2.622184113010021
236,-0.3379696125985938
237,-1.0418758444512222
238,0.4646122790793704
239,-0.6355415818324945
240,0.3941061821269761
241,1.197002798022456
242,-1.3377226526495152
243,-0.010198751211431809
244,-1.885557741122543
245,2.0655441440561084
246,-0.22659560739097384
247,-0.06197043988287715
248,1.0105861808000616
249,-0.8601828852761372
250,-0.23972348661311638
251,1.9838829742906188
252,-0.7567357793556255
253,-0.7475227190253979
254,-1.964808591834938
255,-1.1794195025927119
256,0.7599736239320785
257,-1.017319167336855
258,0.32789708175799104
259,0.9504965445020699
260,0.24621947309895365
261,-1.0583918060768187
262,-0.49579903436505546
263,-1.6697037227201676
264,-0.13606829916228824
265,0.220676798496228
266,0.29001063096954716
267,0.20103516076988925
268,-2.194402094914989
269,1.5315173611055406
270,-1.4487440089350712
271,-1.0583824246609523
272,2.133403244230717
273,1.2735504384411596
274,0.18620113056253912
275,0.8262114143334296
276,-1.4081790883285266
277,-0.8452661531113538
278,2.0760500097398094
279,0.4025506571395906
280,-1.8980914470920065
281,-1.1219227944234875
282,-2.3031645906471185
283,1.0295540947097395
284,1.7946088193056564
285,2.3387050162634035
286,-1.6903241729574403
287,1.423390536340985
288,0.6176977442664113
289,2.1019835428888642
290,1.1993511392804448
291,1.8653721171774493
292,-1.0210251675822548
293,0.5983970568574762
294,0.4035100894643553
295,1.2857672244297218
296,1.4785202518289235
297,0.31990749363909476
298,0.1421123350008233
299,-1.436716731149477
300,0.3895979968143823
301,-0.04424158775585796
302,-0.5811758845892812
303,0.18731936597569487
304,-0.6105812079590269
305,-1.5561587226473548
306,-0.7797994573319738
307,0.10565615777459958
308,-0.45896602092445504
309,-1.4435085103696748
310,-0.8797160517808358
311,0.16164316049720973
312,-1.6440255633575263
313,0.5576431402787821
314,-0.38319509062307333
315,1.227403492992845
316,1.614335322777107
317,-0.8446646792663721
318,-0.010588247543271881
319,-2.252023072692945
320,-0.15371236660958498
321,-3.2685994195801933
322,-0.12926205875930663
323,-0.8893009299836216
324,0.8501057914549937
325,-1.4119017808088854
326,0.10606325437532699
327,0.8946178750748736
328,-0.8844871347970886
329,1.3909268954688572
330,0.5600981470845802
331,1.4583642220754713
332,-0.17703308476574298
333,1.9545911810820307
334,-1.873594459279138
335,-0.4649341103253308
336,-0.3704601725191746
337,0.1730494243070872
338,0.6396353572119173
339,0.6329707521764938
340,0.6306843065863976
341,1.4681651503993978
342,-1.1737162659577927
343,-0.20672868045313497
344,-1.6678658798372556
345,-1.7511089702671654
346,-3.103997617690223
347,-1.0813446157763575
348,-1.3763241548023903
349,-1.25293567660394
350,-2.1075469569467993
351,-0.5366325223884978
352,-3.384498537064022
353,2.646710445214805
354,-1.1011139289936547
355,1.2309001193788625
356,-0.10195685495879758
357,-1.9386447031548515
358,1.213558830131448
359,0.9371367437334321
360,-1.2293497614873927
361,0.3912662193180727
362,0.7428015447453714
363,0.6000478630218447
364,-1.2580801148144982
365,1.3373216764682119
366,-1.2384359404404406
367,0.09700659286779134
368,1.4960539220440672
369,0.6033468490889523
370,-1.151269990997981
371,-0.3890071840342738
372,0.030457523987228452
373,1.3358546663638753
374,0.43159924060864463
375,-0.6413064563502608
376,0.2921539890825241
377,-0.5224816081038018
378,0.15550052827575356
379,-0.2625340092950402
380,-1.4053759726863497
381,0.2605289555667052
382,-2.9016313691739377
383,0.2784041828630784
384,0.33676822662267414
385,-1.666187900849225
386,-0.9033922325207981
387,2.4173774182179506
388,-0.369947352332036
389,0.36735397731352804
390,1.7760109313550307
391,0.9588822974454676
392,1.0912240304155274
393,-1.1920648522879964
394,-1.44919440071503
395,3.22384287730181
396,0.7847701753559543
397,2.7425103654662264
398,0.2479120491391375
399,-0.8755580486362072
400,-1.9357419906747944
401,0.5841536458582304
402,1.9603027405394617
403,-1.1252194686699277
404,-0.043456415169718446
405,0.21811050759220685
406,0.6536473034716666
407,0.21276713015715826
408,-0.3649774551543915
409,1.980732813086942
410,-0.5093913668605639
411,1.067240998873166
412,0.5554406495135351
413,0.47634898199801373
414,0.46040913905436487
415,0.7864615590418598
416,0.6859427103351303
417,0.3113891270652566
418,1.5112479313102902
419,-0.9637787735504613
420,2.057252991948941
421,-0.44971968348754876
422,0.5675356259392759
423,0.5401602434453704
424,-1.4645692765765217
425,0.7876911058333123
426,-2.995935204928635
427,-2.885262059077966
428,-0.9974120537443889
429,-0.39907617741771906
430,0.7641835500618326
431,-0.4262808955530112
432,-0.5387133983828307
433,2.2872034206082676
434,-0.7510403343763136
435,-0.4871272613399128
436,-0.6443270885151817
437,-0.7187301140857916
438,-1.317464298067034
439,-1.3513971909599267
440,-0.5519790579663074
441,-1.088369312360032
442,-3.0782958926611603
443,-3.073928560787441
444,0.49156608330528573
445,4.132140256866359
446,-0.6833941941256229
447,0.5163378839604397
448,-0.036624062518215705
449,1.7120909108817008
450,2.0949123951327264
451,-0.19622395874683873
452,-1.4806476641188788
453,1.2103083563845396
454,-0.4429460726813269
455,-0.3890834857493384
456,0.6239226877266291
