,sem_knn_res
239,1.6435498429085436
240,-1.4921052102109487
241,0.37904436112769474
242,-0.12963509911507046
243,-0.16161917927262517
244,-0.7016379872491438
245,-0.8439691477895099
246,0.6892698478253457
247,0.4440247997046044
248,-0.925764745855641
249,0.532966237481102
250,-2.3113942683004858
251,-0.6697845194019936
252,1.2101588742416758
253,-1.8064781172279658
254,1.7252010862660803
255,0.49989507605597316
256,0.24018313159241061
257,-0.5549095527877057
258,-0.2027360382191677
259,2.2389785335520256
260,-0.41555557569644413
261,-1.5466700599557255
262,0.2974454752974045
263,0.4892698714274333
264,-1.6248160686563256
265,-1.1607098716775743
266,0.0075429881817266065
267,-0.09508344872593755
268,-1.2433202076368794
269,-0.0817188981338739
270,-0.3579864548185505
271,-0.5227465177988789
272,1.6792646922795056
273,1.0401378909281283
274,1.376395911535081
275,1.4677788878315592
276,0.07174045627300703
277,-0.4232891806181647
278,0.2571616399980107
279,0.8070329482214659
280,-0.9457093331583828
281,1.2659745177738295
282,0.1683734488034968
283,0.33844494042041623
284,1.2023125145125166
285,1.9402501534912162
286,-1.0608455461308215
287,2.083733680646204
288,-0.9558246594813752
289,1.7893219129851512
290,1.5441709877284846
291,1.3074695502241713
292,0.5160197295335
293,0.16504783023651676
294,-0.23793027560959928
295,-0.38373710591297744
296,-0.34150448489914237
297,0.4082652072301485
298,2.3984585969725236
299,-0.8927692036422922
300,-1.7699846014972418
301,-0.03859422982509331
302,1.9586142819218701
303,-0.0848235233446214
304,0.5231128647825082
305,-0.8930616487430816
306,0.2739245019591583
307,-0.18164965343772344
308,0.9984164257347444
309,0.5005486850355751
310,-3.0898474280908874
311,-0.8338521003803375
312,-0.2087957584315492
313,-0.4788975557238689
314,1.1017994972801084
315,0.330408715653293
316,0.7918275634503182
317,-0.16696974127470982
318,1.480265947405399
319,-1.5375351273764684
320,-1.1808969419561222
321,-2.306954223892447
322,-0.22703203016250117
323,-0.9520714404400412
324,-1.3774274185992414
325,-0.4542698880781625
326,-0.4829036707891332
327,-0.5125689272627746
328,1.003433957565265
329,-1.9194142881834744
330,-0.5220964721209239
331,-0.00588612360424523
332,-0.187974548380899
333,0.08107754961667246
334,-0.7630939482264453
335,0.27146295860272573
336,0.8107744727786445
337,-1.3951157075831673
338,-1.478451719417821
339,2.4992024936073527
340,1.3973009089879787
341,0.7584842684709154
342,0.766146836602575
343,-0.7597420946322935
344,-0.7842759657677784
345,-1.3538414105986072
346,-4.299446865568024
347,-1.7279850066431064
348,-0.4028579944610715
349,-1.7547166178473526
350,-3.6841856869095464
351,0.7376834137376843
352,-0.1419954751579875
353,1.1710459639779827
354,0.1800232349038292
