"","(Intercept)","sex_ratio","pct_black","pct_hisp","pct_bach","median_income","pct_65_over","pct_age_18_29","gini","pct_manuf","ln_pop_den","pct_3rd_party","turn_out","pct_fb","pct_uninsured"
"33",0.979745806062826,-0.025859511355245,-0.194210176658856,-0.204287239225009,0.196880793495969,-0.144179154898898,-0.0616611062750902,-0.0239394079336842,-0.0401367744265044,-0.0355163484349147,-0.102713806338145,-0.0289569154500349,-0.151213829736861,-0.0344680027424969,0.0324531623961381
"34",0.359305515840193,-0.0258716306344592,-0.0132756244496982,0.0613103930669895,0.0160085906901533,-0.0346009779130386,-0.0238615344694477,0.0371714286551141,-0.0292808889627875,-0.0427359798603864,-0.0537753794975309,-0.016000854577045,-0.0146691275111033,-0.0321989891732686,-0.0110988563365304
"35",-0.228653377625239,0.0741931787101366,-0.00632948805741046,0.407099665769686,0.272420060085167,-0.0866400336327611,0.00593283717641962,-0.0919025445364258,0.198846652697007,0.170615991019586,0.109939131617682,0.28958880199141,-0.0364069077481648,-0.669271414325794,0.451037881467171
"36",0.514413099045528,-0.0121894160921452,0.01083500569859,0.0425411516870918,0.292523466697295,-0.149500965231166,-0.0889262407874538,-0.0667899350580327,-0.0253171485302298,-0.07993345082646,-0.351757042796921,-0.0390047149378335,-0.0826427684334409,0.028143013655407,-0.0375710767975161
"37",-0.0276634847331252,0.0270279289859178,0.109364306402314,-0.127265951429851,0.217582908900209,-0.116267123123327,-0.0727026108947226,-0.0572113444297134,0.00238012056757227,0.0615924480253199,-0.359241989533867,0.165588213132496,-0.0211251245867075,0.0544334285318695,0.0473195985895376
"38",-0.0255412380289245,0.0296268496996202,-0.18112609725697,-0.589119435298135,-0.0126829335975434,-0.258748006130137,-0.129629847724451,-0.121554240833087,-0.0355433766417949,0.153810198278826,0.0239627459560821,-0.00249102909549538,-0.233797639090582,-0.122841248017561,0.0917164853945188
"39",0.215106621217354,-0.0394405856916749,0.0380108872394583,0.355168543467769,0.00553053710468847,0.0202113508290707,0.0869400827420107,0.074005862274163,-0.0083603800410974,-0.0413352481009409,0.0108483887130857,-0.00864559812497816,-0.0497784282602267,-0.183951079253339,-0.0553957538756974
"40",-0.559773430713322,-0.0142124487028115,0.0526356165855387,-0.0990331131211144,-0.241210447412838,0.00555943314680139,0.0439835740516304,0.0173591945618029,-0.0423270066265855,0.0621894950695194,0.176225122167199,0.0270347254535428,-0.0102962087013711,-0.0590662793234351,-0.0387532270172378
"41",0.315776802383272,-0.00214373078802956,-0.0989989921006544,0.168368671861851,0.0756072111643332,0.0413323218328971,0.0455026375160642,0.00287741124574313,0.0100671524041005,-0.0917953590062103,0.239106571996274,-0.0218384696449928,0.106444725718691,-0.0400445151733942,0.0570495161428108
"42",0.0508501215570743,-0.0198770622437813,-0.00392401421556801,0.108529608489425,-0.0210686638468434,0.127836587537425,0.149456260362604,0.0582063541133028,0.00240283544525279,-0.0110087532522843,0.0401657745629679,-0.0383954404837075,-0.023546259775649,0.085084939285182,-0.140319402232231
"44",0.443571977858237,-0.0288469453935359,-0.0997483041262625,-0.0580733742006218,0.0457518183116742,0.0196940727818457,0.0586044563819596,0.0172613027486394,-0.0152298549888217,-0.0220469625393045,0.0453061910097978,-0.00884258207351772,-0.0609867314503519,0.00498419960035281,-0.0228617868610464
"45",-0.550870232560235,-0.00827493453604424,0.178128228964963,-0.00260875292346763,-0.135746599086763,0.00735910091972178,-0.0429969494661055,0.00302336617998173,-0.0375669129380522,-0.00941056535294819,-0.112021755776403,0.00619105710611917,0.0461650144978982,0.087835549782939,-0.0733896028969773
"46",0.154811828894376,0.0687481398788125,-0.173704326430866,-0.244419608719139,-0.069608307924307,-0.0258948464246215,-0.211418128604947,-0.0334821541059406,0.0849489265933022,0.0518098358934375,0.0512260649369172,-0.136953172304977,0.0128842005586025,0.0255093906070519,0.185730630914102
"47",-0.546757382389538,0.00557550771651335,0.0422417563672597,-0.385932326199966,-0.267342689906986,0.0634222679922675,-0.0682229883209044,-0.0127945655709827,-0.0440445188666033,0.0156263761377674,-0.000646191962517962,-0.112249887781366,0.0532898470498274,0.328645402538034,-0.116991164282018
"48",-0.840807239216074,0.0184844256696049,0.189128049630682,0.351165058689307,-0.126084252799288,-0.0568095948344738,0.0699365026147097,0.0371228504896072,-0.048845831882123,0.0214512849771625,0.161614076690674,0.0516629727056545,0.194782517112033,-0.108076190933675,-0.0786531892524631
"49",-0.612315828375419,0.113328114509598,0.140247013212437,0.497971311659793,0.130576529454566,-0.104205068431254,-0.289394785139946,-0.109165965035584,0.117657913449078,-0.094501831924792,-0.106843065458295,-0.15970877240685,0.207179348677358,-0.127022582589315,0.188272069877318
"50",0.798988220624022,-0.0146581447967635,-0.106465028992386,-0.072683780363751,0.269221618624855,-0.0923514413673973,-0.0285733687468027,-0.031079050855637,-0.0133492829160409,-0.0475311869716481,-0.145743540258639,0.0486482872146693,-0.0610751791126825,-0.0029580932106705,0.0534621392568533
"51",-0.0119681204694534,0.0209873739990269,0.0891130804810604,0.132489370065198,0.0298654785358401,0.020678470552756,-0.0704239347598455,0.0301565882184046,0.0284325803726871,-0.0157900799384087,-0.205496894283735,-0.02815785266816,0.0635781654213185,0.0865303456117441,-0.0120298037156465
"53",0.382120302284589,-0.0370625000520116,-0.179933014708553,-0.0882837778332486,-0.00248955530113151,0.14651395324207,0.184342506148143,0.0159881405042506,0.0126894552392164,-0.0140317354971977,0.214616732318747,-0.0709731017469007,-0.0838043501193784,0.0650863394765279,-0.0855041068019507
"54",-0.0912547285549529,-0.0284274900350938,0.0525395005385065,-0.0798213253231815,-0.0196581944128252,0.117602160765043,0.0803034065850469,0.00214230963665521,0.00289718786377265,-0.00478589972019555,-0.0761391675049245,0.0288496649695477,-0.0278546636998794,0.134671767072352,-0.074373759249936
"55",1.06614701181439,0.017982862182479,-0.194808650915002,-0.253403139634256,0.288944468941051,-0.422351279002615,-0.409307703467919,-0.133376591414187,-0.100293002861932,-0.176343038609058,-0.333655742326077,-0.291062976488059,-0.126167867322849,0.0570785738120509,0.0246602059475519
"56",-0.619134029227946,0.0731737569980128,0.154719800355555,0.315829449304587,0.00841733632508584,0.0955614363856635,-0.0762260100540222,-0.0125244054657623,0.102893285428274,-0.0161306301774718,-0.0556352510124511,-0.0235558848949661,0.174478121461215,0.0374266003146229,0.0754283763258653
